0,150736,353307226,Odacre,W,Koehnlein,398,Measures Rd,0t2,Grand Cane,LA,71032,
1,42612,210412130,Anatra,A,Nobie,351,Vallath St,2m3,Alqakanuk,AK,99554,
2,228621,778784146,Kanin,G,Geok,A,PO Box 3327,A,Edgerton,KS,66021,
3,185736,0,Leita,D,Mahrt,308,Colinda Avenue,7z2,Merritt Island,FL,32952,
4,142056,0,Rahimtoola,x,Pietropaoli,373,Julie Ave,0m3,Spartanburg,SC,29302,
5,185968,303118751,Nisse,Q,Bragadin,440,Gitter St,0n6,Hattieville,AR,72063,
6,138097,0,Corenson,P,Bihari,731,Pascale St,0c5,Jacksonville,FL,32247,
7,17010,0,Dynis,P,Geoffr,870,Sinnwell St,6q3,Joiner,AR,72350,
8,138298,146214802,Frischknecht,Z,Normita,198,Meeker Rd,1y4,Snow Hill,NC,28580,
9,148177,168540724,Ferner,I,Heikes,878,Angeli Ave,1t8,Billings,MT,59115,
10,181203,352730438,Nehemiah,P,Mckeever,971,Sabrine St,5y4,Rotterdam Junction,NY,12150,
11,106195,510623823,Brandt,A,huia,811,Danchi Ave,5n3,Carrothers,OH,44823,
12,157231,587703405,Pickens,J,Kagiyama,273,Edita Lane,2m4,Agenda,KS,66930,
13,223780,373016553,Semroc,I,Sophie,483,Rotering Lane,5r4,Dallas,TX,75252,
14,128544,774561714,Defunts,A,Pierluigi,22,Kyl Avenue,0r8,False Pass,AK,99583,
15,11996,521638384,Hossack,P,Pun,574,Hettiger Ave,5i6,Hollis,NH,3049,
16,148949,775242582,Noonan,S,Mutsuo,739,Fichthorn Ave,6f3,Liberal,MO,64762,
17,99850,0,Keri,D,Gordillo,230,Marcotte Avenue,2v4,Phoenix,AZ,85029,
18,60998,658804567,Kathryne,A,Anandaroop,A,PO Box 3839v,A,Lihue,HI,96766,
19,118396,653756051,ouk,A,Ferrara,509,Biler Parkway,5m3,Saint Petersburg,FL,33716,
20,98304,267728682,Cabebe,M,Ziff,326,Esemplare,7o8,Franklin,AR,72512,
21,129308,251247235,Hochbrueckner,P,Jubin,957,Fa Lane,5r0,Andover,OH,44003,
22,124362,214285541,Rodr,F,Preuninger,436,Rampe St,0d4,Leex,ME,4455,
23,209291,0,Porebski,U,Alagamm,853,Dalcin Ave,6x1,Martin,SD,57551,
24,141210,346086443,Marchelle,A,Diuble,135,kaverman St,1c1,McLeod,ND,58057,
25,159545,378232264,Renalds,U,Joij,847,Calkin Ave,2q4,Dexter,MI,48130,
26,103103,280364121,Gausden,A,Saelens,489,Mcginnis Road,5q4,Mount Freedom,NJ,7970,
27,142404,557355181,Golis,S,Pawel,230,Matayka Street,0h1,Moodys,OK,74444,
28,51188,784567533,uBffington,R,Lowe,A,POe Box 341,A,Hannibal,WI,54439,
29,237320,682830276,Edamatsu,B,Masueero,767,Giosso Pkwy,7z3,Cedar Grove,NJ,7009,
30,91201,755175804,Gitzen,B,Ganny,341,Lavelda Street,1h4,lPymouth,WA,99346,
31,67395,151557156,Elizab,R,Planques,A,PO Box 1437,A,Hudson,WY,82515,
32,138565,430574786,Genovera,N,Joell,574,Konarski Ave,7s2,Ainsworth,NE,69210,
33,127518,530050114,Sobitha,J,Grubb,738,Vanagunas Rd,2i8,Coopersburg,PA,18036,
34,224589,716136850,Mangum,F,Babjan,583,Ratnayakde St,5y1,Ontario,NY,14519,
35,87518,0,Ellard,N,Blomme,414,Meunier Rd,2b8,Bloomington,IN,47403,
36,141205,0,Manry,A,pLambda,724,Marvich St,7a4,Vernon,CO,80755,
37,212590,223210527,Paralee,A,Mcintire,233,Mustapha Street,2l0,Sace,AR,72673,
38,190226,311730617,Snipes,I,Hatsunori,851,Tilke Street,8z8,Springfield,MA,1109,
39,139696,582725346,Sqanets,L,Breault,816,Panchal,5b1,Albuquerque,NM,87030,
40,53442,315273102,Rikus,R,Frydman,771,Montalbano Avenue,8t8,Baring,WA,98224,
41,120177,0,Tye,A,Maint,166,Nixia,8n6,Elizabethtown,IN,47232,
42,35564,718464061,Maury,K,Joudrey,750,Schmierer Avenue,0f6,Clements,MD,20624,
43,135443,130177374,Nydia,B,Amiro,895,Bonita,1o2,Frederiksted,VI,840,
44,126121,124325670,Jingru,K,Rugg,777,Buchon Ave,0b4,Gleason,WI,54435,
45,90449,381581675,Jonas,A,Kodama,A,PO Box 4323,A,Springfield,MA,1199,
46,106121,631653621,Giov,S,Shraae,134,Sachi Pkwy,5o7,Coaresville,IN,46121,
